Sample Name,Month,Site ID,Group,23 -> 23  Na  [ He ] ,Conc. RSD,Na RSD,25 -> 25  Mg  [ H2 ] ,Conc. RSD,Mg RSD,27 -> 27  Al  [ No Gas ] ,Conc. RSD,Al RSD,28 -> 44  Si  [ O2 ] ,Conc. RSD,Si RSD,31 -> 47  P  [ O2 ] ,Conc. RSD,P RSD,32 -> 48  S  [ O2 ],Conc. RSD,S RSD,39 -> 39  K  [ H2 ] ,Conc. RSD,K RSD,43 -> 43  Ca  [ No Gas ] ,Conc. RSD,Ca RSD,53 -> 53  Cr  [ No Gas ],Conc. RSD,Cr RSD,55 -> 55  Mn  [ H2 ],Conc. RSD,Mn RSD,66 -> 66  Zn  [ No Gas ] ,Conc. RSD,Zn RSD,86 -> 86  Sr  [ No Gas ] ,Conc. RSD,Sr RSD,138 -> 138  Ba  [ No Gas ] ,Conc. RSD,Ba RSD,56 -> 56  Fe  [ H2 ],Conc. RSD,Fe RSD
DW-GR5-DOM-3,Apr.22,GR5,Drip,40.16,0.66,0.27,1.16,1.44,0.02,3.44,0.56,0.02,4.9,2.21,0.11,0.2,1.57,0,3.67,1.09,0.04,0.88,0.87,0.01,196.28,0.1,0.2,0,14.49,0,0,1.79,0,0.02,1.37,0,0.05,2.52,0,0.03,0.85,0,0,3.73,0
DW-GR6-DOM-3,Apr.22,GR6,Drip,2.81,0.84,0.02,0.82,1.31,0.01,2.12,0.66,0.01,5.94,2.04,0.12,0.08,2.58,0,5.68,1.2,0.07,0.46,0.55,0,61.98,1.36,0.84,0,2.44,0,0,0.86,0,0.01,2.51,0,0.04,1.69,0,0.01,1.01,0,0,0.85,0
SW-O1-DOM-3,Apr.22,SW-01,Soil,1.73,0.75,0.01,3.86,2.1,0.08,5.47,0.36,0.02,15.82,1.74,0.28,0.26,0.52,0,0.62,0.57,0,17.13,0.33,0.06,111.48,1.17,1.3,0,10.29,0,0,0.69,0,0.08,1.34,0,0.08,1.22,0,0.09,0.7,0,0.01,0.97,0
SW-O2-DOM-3,Apr.22,SW-02,Soil,1.73,0.81,0.01,0.22,1.57,0,0.9,0.45,0,12.56,1.88,0.24,0.14,2.28,0,2.13,0.49,0.01,0.86,0.32,0,5.03,3.94,0.2,0,9.01,0,0.01,1.39,0,0.19,0.78,0,0,1.87,0,0.02,1.35,0,0.01,2.2,0
SW-O5-DOM-3,Apr.22,SW-05,Soil,0.96,1.17,0.01,1.1,1.05,0.01,2.78,0.87,0.02,18.33,1.96,0.36,0.02,6.67,0,1.87,0.84,0.02,0.32,1.03,0,47.66,1.51,0.72,0,9.2,0,0,1.43,0,0.03,0.8,0,0.03,2.65,0,0.07,0.74,0,0.01,0.71,0
DW-GF1-DOM-4,Jun.22,GF1,Drip,2.17,1.03,0.02,1.67,1.14,0.02,1.85,0.72,0.01,6.6,3.08,0.2,0.01,6.32,0,2.27,0.51,0.01,0.9,1.63,0.01,47.14,2.68,1.26,0,18.66,0,0,4.78,0,0.09,1.38,0,0.08,0.98,0,0.01,0.6,0,0,1.66,0
DW-GF2-DOM-4,Jun.22,GF2,Drip,2.91,1.2,0.03,2.53,1.61,0.04,1.38,1.36,0.02,4.94,1.07,0.05,0.01,6.79,0,3.14,2.01,0.06,1,1.08,0.01,56.12,1.27,0.71,0,66.46,0,0,2.24,0,0.01,1.53,0,0.09,1.05,0,0.01,1.88,0,0.03,1.43,0
DW-GF3-DOM-4,Jun.22,GF3,Drip,3.14,0.44,0.01,2.44,0.95,0.02,3.89,0.93,0.04,5.37,1.82,0.1,2.46,0.29,0.01,3.52,0.22,0.01,1.14,0.26,0,56.81,1.43,0.81,0,16.28,0,0,0.16,0,0.06,1.29,0,0.09,1.12,0,0.01,2.12,0,0.03,3.47,0
DW-GR1-DOM-4,Jun.22,GR1,Drip,3.21,0.96,0.03,2.43,0.89,0.02,0.66,1.31,0.01,9.32,2.02,0.19,0.01,10.87,0,2.04,0.27,0.01,0.21,0.33,0,32.39,0.6,0.19,0,3.11,0,0,4.57,0,0.01,1.39,0,0.09,1.32,0,0.02,1.83,0,0,3.75,0
DW-GR2-DOM-4,Jun.22,GR2,Drip,3.04,0.17,0.01,1.01,2.14,0.02,0.36,0.98,0,7.41,0.43,0.03,0.04,3.03,0,4.06,0.68,0.03,0.28,0.59,0,40.12,0.19,0.08,0,4.84,0,0,2.67,0,0.01,1.66,0,0.03,1.5,0,0.01,0.82,0,0,1.75,0
DW-GR3-DOM-4,Jun.22,GR3,Drip,9.86,1.24,0.12,1.17,0.55,0.01,1.47,0.71,0.01,4.4,0.15,0.01,0.07,3.5,0,4.18,1.71,0.07,0.45,1.64,0.01,38.65,1.31,0.51,0,12.69,0,0,1.32,0,0.01,2.09,0,0.03,2.18,0,0.01,0.55,0,0.03,0.66,0
DW-GR4-DOM-4,Jun.22,GR4,Drip,11.49,0.21,0.02,1.68,2.34,0.04,1.13,0.4,0,4.15,0.91,0.04,0.23,1.77,0,4.1,2.73,0.11,0.9,1.25,0.01,36.53,1.18,0.43,0,27.11,0,0,1.47,0,0.02,0.45,0,0.06,0.3,0,0.01,0.61,0,0,4.38,0
DW-GR5-DOM-4,Jun.22,GR5,Drip,33.18,0.64,0.21,1.07,1.64,0.02,0.36,0.98,0,4.75,2.37,0.11,0.28,2.4,0.01,3.16,0.36,0.01,0.83,1.25,0.01,138.49,1.42,1.97,0,1.53,0,0,4.47,0,0.03,1.27,0,0.04,0.39,0,0.02,0.41,0,0,2.81,0
DW-GR6-DOM-4,Jun.22,GR6,Drip,2.34,1.31,0.03,0.76,1.81,0.01,1.26,1.06,0.01,5.09,3.4,0.17,0.09,0.85,0,4.19,1.35,0.06,0.36,2.14,0.01,44.89,1.51,0.68,0,4.9,0,0,3.25,0,0.02,2.88,0,0.04,1.34,0,0.01,0.67,0,0,2.97,0
RW-Weir-DOM-4,Jun.22,RW,River,3.94,0.9,0.04,2.6,1.14,0.03,2.12,0.66,0.01,4.56,2.12,0.1,0.21,1.84,0,2.59,0.92,0.02,1.8,1.62,0.03,38.31,0.8,0.31,0,10.33,0,0,1.63,0,0.04,0.71,0,0.06,0.93,0,0.01,0.5,0,0,2.41,0
DW-GF1-DOM-5,Aug.22,GF1,Drip,1.82,1.66,0.03,1.43,0.16,0,3.73,1.8,0.07,5.41,1.85,0.1,0.01,10.94,0,1.97,0.61,0.01,0.51,0.73,0,41.29,1.01,0.42,0,7.28,0,0,2.6,0,0.05,0.6,0,0.07,0.63,0,0.01,1.26,0,0.01,1.39,0
DW-GF3-DOM-5,Aug.22,GF3,Drip,2.5,1.43,0.04,2.25,0.72,0.02,9.61,2.67,0.26,4.26,1.96,0.08,0.02,5.27,0,2.73,0.76,0.02,1,0.45,0,58.94,1.54,0.91,0,13.29,0,0,2.45,0,0.02,2.45,0,0.08,1.84,0,0.01,2.09,0,0.01,1.19,0
DW-GR1-DOM-5,Aug.22,GR1,Drip,2.79,1.15,0.03,2.22,0.27,0.01,0.88,0.6,0.01,8.05,2.46,0.2,0.04,2.15,0,1.81,1.38,0.02,0.3,0.14,0,28.55,1.75,0.5,0,3.63,0,0,4.7,0,0.11,1.09,0,0.08,0.78,0,0.02,0.35,0,0,0.94,0
DW-GR2-DOM-5,Aug.22,GR2,Drip,2.39,1.64,0.04,0.87,3.22,0.03,3.41,1.02,0.03,5.72,1.75,0.1,0.02,2.01,0,3.25,0.21,0.01,0.33,1.54,0.01,37.42,0.67,0.25,0,8.27,0,0,3.29,0,0.06,2.34,0,0.03,2.48,0,0.01,0.88,0,0.05,1.74,0
DW-GR3-DOM-5,Aug.22,GR3,Drip,8.89,0.77,0.07,1.04,0.44,0,4.69,0.81,0.04,4.26,2.8,0.12,0.05,3.37,0,3.51,0.78,0.03,0.38,0.72,0,36.18,0.89,0.32,0,8.31,0,0,0.46,0,0.02,2.46,0,0.03,0.59,0,0.01,1.67,0,0,2.42,0
DW-GR4-DOM-5,Aug.22,GR4,Drip,17.35,0.39,0.07,1.81,1.69,0.03,1.31,0.37,0,4.75,1.3,0.06,4.21,1.54,0.06,4.51,0.1,0,0.82,1.31,0.01,120.43,0.6,0.72,0,5.85,0,0,1.48,0,0.02,1.03,0,0.07,1.17,0,0.02,0.8,0,0.1,1.02,0
DW-GR5-DOM-5,Aug.22,GR5,Drip,34.69,0.23,0.08,1.29,0.55,0.01,6.14,0.86,0.05,5.56,3.34,0.19,19.73,0.79,0.16,3.68,0.33,0.01,1.13,0.82,0.01,150.65,1.23,1.85,0,9.63,0,0,0.91,0,0.1,0.27,0,0.05,0.78,0,0.03,0.7,0,0.01,1.32,0
DW-GR6-DOM-5,Aug.22,GR6,Drip,2.64,0.44,0.01,0.85,1.32,0.01,1.88,1.17,0.02,5.56,2.23,0.12,0.66,1.31,0.01,4.75,0.84,0.04,0.37,1.37,0.01,97.13,2,1.94,0,5.21,0,0,6.01,0,0.01,1.39,0,0.04,0.89,0,0.01,1.22,0,0,1.82,0
RW-Weir-DOM-5,Aug.22,RW,River,6.52,1.03,0.07,3.81,1.77,0.07,1.49,1.84,0.03,5.44,2.99,0.16,0.04,1.29,0,3.81,0.89,0.03,5.51,0.61,0.03,71.33,1.52,1.08,0,23.33,0,0,3.05,0,0.01,3.79,0,0.08,1.73,0,0.01,2.66,0,0.03,1.74,0
SW-O3-DOM-5,Aug.22,SW-03,Soil,6.54,0.52,0.03,1.5,0.8,0.01,4.25,0.68,0.03,9.71,2.56,0.25,0.04,7.5,0,0.96,1.68,0.02,2.36,0.86,0.02,79.21,0.68,0.54,0,16.35,0,0,1.38,0,0.04,2.04,0,0.07,0.29,0,0.01,0.87,0,0.02,0.88,0
DW-GF1-DOM-6,Oct.22,GF1,Drip,2.15,0.78,0.02,1.71,0.82,0.01,0.47,1.51,0.01,6.18,1.54,0.1,0.02,13.32,0,2.35,0.21,0,0.51,0.98,0,50.62,0.77,0.39,0,34.38,0,0,1.49,0,0,6.2,0,0.07,1.05,0,0.01,1.65,0,0,2.33,0
DW-GF2-DOM-6,Oct.22,GF2,Drip,3.08,1.76,0.05,2.64,0.47,0.01,4.75,1.5,0.07,5.34,1.44,0.08,2.07,1.01,0.02,3.32,0.18,0.01,1,0.46,0,60.68,2.88,1.75,0,3.18,0,0,2.28,0,0.02,2.92,0,0.1,1.44,0,0.01,1.63,0,0.01,0.94,0
DW-GF3-DOM-6,Oct.22,GF3,Drip,2.22,0.13,0,2.07,1.08,0.02,34.62,1.16,0.4,4.09,3.3,0.13,0.01,2.59,0,2.34,0.34,0.01,0.96,0.89,0.01,53.74,1.57,0.84,0,6.24,0,0.01,1.08,0,0.02,2.09,0,0.08,2.37,0,0.01,1.49,0,0.07,0.54,0
DW-GR1-DOM-6,Oct.22,GR1,Drip,2.99,0.26,0.01,2.51,1.46,0.04,2.05,0.26,0.01,9.15,2,0.18,0.07,2.6,0,2.04,1.26,0.03,0.23,1.27,0,45.7,0.68,0.31,0,4.02,0,0,2.46,0,0.01,1.95,0,0.1,0.85,0,0.02,0.93,0,0.01,2.86,0
DW-GR2-DOM-6,Oct.22,GR2,Drip,2.37,0.72,0.02,0.85,1.54,0.01,1.46,0.32,0,5.78,3.5,0.2,0.05,4.69,0,3.41,0.67,0.02,0.39,2.63,0.01,36.9,1.46,0.54,0,9.15,0,0,3.35,0,0.07,1.44,0,0.03,1.92,0,0.01,1.29,0,0.01,0.41,0
DW-GR3-DOM-6,Oct.22,GR3,Drip,12.17,0.21,0.03,1.47,1.78,0.03,1.18,1.34,0.02,5.59,0.82,0.05,1.58,1.34,0.02,4.76,1.4,0.07,0.52,2.7,0.01,135.47,1.09,1.48,0,7.1,0,0,6.61,0,0.02,2.48,0,0.05,2.15,0,0.01,0.38,0,0,3.44,0
DW-GR4-DOM-6,Oct.22,GR4,Drip,18.88,0.13,0.02,1.89,0.95,0.02,5.75,0.5,0.03,4.94,2.48,0.12,0.6,0.3,0,4.46,1.53,0.07,0.96,1.01,0.01,78.37,0.77,0.6,0,35.35,0,0,0.66,0,0.02,1.14,0,0.07,0.49,0,0.02,1.23,0,0.01,1.55,0
DW-GR5-DOM-6,Oct.22,GR5,Drip,40.75,0.36,0.15,1.43,0.46,0.01,5.35,0.45,0.02,6.28,0.93,0.06,0.03,3.57,0,4.15,0.99,0.04,1.03,0.99,0.01,185.8,0.99,1.84,0,0.76,0,0,1.47,0,0.01,1.69,0,0.06,0.59,0,0.03,0.44,0,0.04,0.46,0
DW-GR6-DOM-6,Oct.22,GR6,Drip,2.95,1.22,0.04,0.94,1.66,0.02,5.51,0.46,0.03,6.07,0.78,0.05,0.05,2.29,0,5.13,1.52,0.08,0.57,0.51,0,88.57,1.35,1.2,0,4.04,0,0,1.39,0,0.07,1.99,0,0.05,0.37,0,0.01,0.93,0,0.01,1.74,0
RW-Weir-DOM-6,Oct.22,RW,River,5.57,0.29,0.02,3.56,1.77,0.06,3.63,0.58,0.02,4.97,2.09,0.1,0.03,8.63,0,4.96,1.13,0.06,4.3,0.42,0.02,88.26,2.01,1.77,0,9.05,0,0,0.44,0,0.06,0.86,0,0.1,1.66,0,0.01,0.92,0,0.01,0.86,0
SW-O1-DOM-6,Oct.22,SW-01,Soil,3.09,0.43,0.01,8.2,0.76,0.06,0.71,0.7,0,24.71,2.12,0.52,0.11,2.26,0,11.22,0.13,0.01,28.83,0.55,0.16,203,0.3,0.61,0,23.73,0,0,1.45,0,0.05,0.33,0,0.17,0.71,0,0.06,0.48,0,0,2.58,0
SW-O2-DOM-6,Oct.22,SW-02,Soil,1.63,1.02,0.02,0.26,1.91,0,0.84,1.89,0.02,15.55,0.48,0.07,0.06,1.28,0,1.78,0.26,0,0.33,1.67,0.01,4.09,2.03,0.08,0,10.68,0,0.01,0.78,0,0.03,1.7,0,0,5.82,0,0.01,1,0,0.01,9.93,0
SW-O6-DOM-6,Oct.22,SW-06,Soil,5.54,0.69,0.04,1.19,1.22,0.01,1.06,0.3,0,4.31,2.4,0.1,0.5,0.91,0,0.7,0.88,0.01,1.9,1.45,0.03,66.71,1.14,0.76,0,19.62,0,0,1.51,0,0.21,0.43,0,0.04,0.69,0,0.01,0.08,0,0.01,2.26,0
DW-GF1-DOM-7,Dec.22,GF1,Drip,2.29,1.63,0.04,1.82,1.52,0.03,0.81,1.12,0.01,6.51,3.22,0.21,0.33,0.73,0,2.62,0.32,0.01,0.77,1.29,0.01,130.77,1.17,1.53,0,201.56,0,0,1.34,0,0.05,1.02,0,0.09,2.27,0,0.01,0.64,0,0,3.14,0
DW-GF2-DOM-7,Dec.22,GF2,Drip,3.49,1.52,0.05,3.26,1.87,0.06,0.49,1.39,0.01,6.15,2.33,0.14,2.39,0.71,0.02,4.1,4.56,0.19,1.34,1.48,0.02,176.66,2.01,3.55,0,11.18,0,0,7.97,0,0.03,2.06,0,0.11,1.22,0,0.01,1.57,0,0,0.83,0
DW-GR1-DOM-7,Dec.22,GR1,Drip,3.52,0.95,0.03,2.94,1.21,0.04,5.2,0.4,0.02,9.79,1.7,0.17,0.3,1.23,0,2.24,1.1,0.02,0.35,1.45,0.01,114.22,1.08,1.23,0,3.46,0,0,1.75,0,0.03,2.66,0,0.12,1.35,0,0.03,0.92,0,0.01,5.03,0
DW-GR3-DOM-7,Dec.22,GR3,Drip,12.3,1.49,0.18,1.47,1.34,0.02,8.92,0.43,0.04,5.12,1.39,0.07,0.08,3.04,0,4.44,1.07,0.05,0.68,2.1,0.01,125.36,1.61,2.02,0,10.12,0,0,0.86,0,0.13,0.44,0,0.04,0.96,0,0.01,0.25,0,0.01,0.88,0
DW-GR4-DOM-7,Dec.22,GR4,Drip,15.79,0.2,0.03,2.17,0.13,0,4.66,1.03,0.05,4.98,2.08,0.1,0.29,0.73,0,4.75,0.72,0.03,1.31,1.16,0.02,121,1.11,1.34,0,18.88,0,0,1.89,0,0.23,1.12,0,0.08,0.84,0,0.02,0.64,0,0.02,1.47,0
DW-GR5-DOM-7,Dec.22,GR5,Drip,40.33,0.75,0.3,1.42,0.68,0.01,2.51,0.63,0.02,5.38,1.36,0.07,0.36,2.84,0.01,3.98,1.56,0.06,1.14,0.96,0.01,222.98,0.76,1.69,0,4.07,0,0,0.93,0,0.03,0.43,0,0.06,1.32,0,0.03,0.81,0,0.02,0.59,0
RW-Weir-DOM-7,Dec.22,RW,River,5.21,0.1,0.01,3.79,0.38,0.01,1.63,0.64,0.01,5.49,3.19,0.18,5.67,1.14,0.06,4.22,0.84,0.04,3.28,0.75,0.02,125.21,1.38,1.73,0,5.58,0,0,0.83,0,0.04,2.38,0,0.1,1.57,0,0.01,0.83,0,0.03,0.37,0
SW-O6-DOM-7,Dec.22,SW-06,Soil,5.57,0.44,0.02,1.34,1.22,0.02,5.65,0.15,0.01,3.66,0.83,0.03,0.16,2.29,0,0.99,0.12,0,1.28,0.9,0.01,75.53,0.6,0.45,0,7.17,0,0,1.65,0,0.03,1.87,0,0.04,0.83,0,0.01,0.36,0,0.01,1.17,0
GF1-8,Feb.23,GF1,Drip,2.03,0.43,0.01,1.45,2.42,0.04,0.22,1.3,0,5.84,1.35,0.08,0,11.74,0,2.45,0.75,0.02,0.46,2.19,0.01,44.59,1.43,0.64,0,34.91,0,0,4.52,0,0.01,1.46,0,0.07,0.84,0,0.01,0.11,0,0.002004302,1.139406145,0.175907622
GF2-8,Feb.23,GF2,Drip,3.64,0.49,0.02,2.51,3.86,0.1,0.01,0.66,0,4.97,2.44,0.12,0.04,2.28,0,3.78,1.32,0.05,1.08,1.2,0.01,62.64,0.77,0.48,0,11.65,0,0,6.19,0,0.01,1.69,0,0.09,0.23,0,0.01,0.58,0,0.002187482,1.28998471,0.169574228
GF3-8,Feb.23,GF3,Drip,3.47,0.7,0.02,2.76,1.37,0.04,0.02,0.92,0,4.91,2.14,0.11,0.01,10.77,0,3.57,0.68,0.02,1,1.21,0.01,64.9,0.19,0.12,0,25.4,0,0,2.43,0,0.01,2.34,0,0.1,0.46,0,0.01,0.88,0,0.003019875,2.8936265,0.104362985
GR1-8,Feb.23,GR1,Drip,3.43,0.85,0.03,2.7,2.55,0.07,0.01,1.26,0,9.63,1.41,0.14,0.03,1.14,0,2.16,0.49,0.01,0.22,0.8,0,36.46,1.17,0.43,0,4.74,0,0,5.87,0,0.02,1.66,0,0.09,0.64,0,0.02,1.12,0,0.001369245,4.663548181,0.029360593
GR2-8,Feb.23,GR2,Drip,2.63,1.02,0.03,0.85,1.35,0.01,0,2.16,0,6.07,1.92,0.12,0.19,0.53,0,3.76,1.02,0.04,0.24,2.06,0,88.45,0.23,0.2,0,2.21,0,0,5.25,0,0.02,1.67,0,0.03,2.1,0,0.01,0.73,0,0.002336665,3.911227316,0.059742511
GR4-8,Feb.23,GR4,Drip,14.92,1.08,0.16,1.58,1.47,0.02,0,1.77,0,4,2.61,0.1,0.01,9.53,0,4.3,0.78,0.03,0.78,0.58,0,40.98,0.9,0.37,0,14.73,0,0,5.69,0,0.01,1.77,0,0.06,1.15,0,0.01,1.01,0,0.000656331,3.242001575,0.020244623
GR6-8,Feb.23,GR6,Drip,2.75,1.25,0.03,0.74,0.71,0.01,0,0.16,0,5.51,2.3,0.13,0,5.87,0,4.67,1.77,0.08,0.31,0.61,0,49.89,0.43,0.21,0,7.73,0,0,4.56,0,0.01,3,0,0.04,0.92,0,0.01,0.75,0,0.000912745,6.773377921,0.013475478
RW-8,Feb.23,RW,River,4.37,0.6,0.03,2.58,0.58,0.02,0,2.11,0,4.45,2.15,0.1,0.01,5.57,0,3.38,1.14,0.04,1.48,0.61,0.01,42.73,1.37,0.59,0,13.84,0,0,8.42,0,0.03,1.44,0,0.06,0.72,0,0.01,1,0,0.000199972,10.52300559,0.001900333
SW-O2-8,Feb.23,SW-O2,Soil,1.35,0.74,0.01,0.14,2.65,0,0.03,0.45,0,8.88,1.55,0.14,2.63,0.26,0.01,1.04,0.26,0,0.12,0.58,0,2.75,3.92,0.11,0,14.47,0,0,0.9,0,0.01,2.19,0,0,2.9,0,0,1.16,0,0.036932458,1.28997774,2.86303063
SW-O3-8,Feb.23,SW-O3,Soil,1.56,1.13,0.02,0.41,1.52,0.01,0.01,0.82,0,0.65,3.76,0.02,0,15.89,0,0.52,0.86,0,0.32,0.44,0,26.13,0.88,0.23,0,59.49,0,0,1.98,0,0.02,0.84,0,0.01,1.9,0,0,2.17,0,0.003520988,1.164296629,0.302413322
GF1-9,Apr.23,GF1,Drip,1.73,1.08,0.02,1.28,0.58,0.01,0.05,2.3,0,5.11,1.51,0.08,0.1,4.55,0,2.1,1.9,0.04,0.43,0.79,0,35.8,0.2,0.07,0,15.45,0,0,9.23,0,0.02,0.57,0,0.06,1.21,0,0.01,0.72,0,0.005426199,3.217663867,0.16863784
GF2-9,Apr.23,GF2,Drip,3.29,0.41,0.01,2.43,3.69,0.09,0.01,0.42,0,4.43,1.72,0.08,1,0.89,0.01,3.13,0.31,0.01,0.93,1.92,0.02,158.74,1.15,1.82,0,12.42,0,0,4.62,0,0.02,1.33,0,0.09,0.62,0,0.01,0.43,0,0.005187059,3.15961489,0.164167453
