Sample Name,Month,Site ID,Group,23 -> 23  Na  [ He ] ,Conc. RSD,Na RSD,25 -> 25  Mg  [ H2 ] ,Conc. RSD,Mg RSD,27 -> 27  Al  [ No Gas ] ,Conc. RSD,Al RSD,28 -> 44  Si  [ O2 ] ,Conc. RSD,Si RSD,31 -> 47  P  [ O2 ] ,Conc. RSD,P RSD,32 -> 48  S  [ O2 ],Conc. RSD,S RSD,39 -> 39  K  [ H2 ] ,Conc. RSD,K RSD,43 -> 43  Ca  [ No Gas ] ,Conc. RSD,Ca RSD,53 -> 53  Cr  [ No Gas ],Conc. RSD,Cr RSD,55 -> 55  Mn  [ H2 ],Conc. RSD,Mn RSD,66 -> 66  Zn  [ No Gas ] ,Conc. RSD,Zn RSD,86 -> 86  Sr  [ No Gas ] ,Conc. RSD,Sr RSD,138 -> 138  Ba  [ No Gas ] ,Conc. RSD,Ba RSD,56 -> 56  Fe  [ H2 ],Conc. RSD,Fe RSD
GR2-10,Jun.23,GR2,Drip,1.21,0.92,0.01,0.45,1.17,0.01,0,4.41,0,2.69,0.72,0.02,0,12.22,0,1.68,0.86,0.01,0.12,1.39,0,45.17,0.46,0.21,0,5.19,0,0,2.94,0,0.01,1.35,0,0.01,0.85,0,0,1.63,0,0.000437517,6.847351197,0.006389575
GR4-10,Jun.23,GR4,Drip,5.38,0.64,0.03,0.89,0.84,0.01,0,2.36,0,1.81,2.37,0.04,0.05,2.53,0,1.75,0.42,0.01,0.36,0.46,0,36.65,1.56,0.57,0,20.12,0,0,1.63,0,0.01,0.53,0,0.03,1.13,0,0,0.25,0,0.000424406,8.246079873,0.005146757
GR5-10,Jun.23,GR5,Drip,20.7,0.85,0.18,0.65,1.32,0.01,0.01,2.38,0,2.67,4.2,0.11,0.01,4.86,0,2.06,1.44,0.03,0.55,1.7,0.01,90.32,0.55,0.5,0,10.28,0,0,5.25,0,0.02,0.53,0,0.03,0.45,0,0.02,1.1,0,0.000967063,0.74191735,0.130346498
GR6-10,Jun.23,GR6,Drip,2.53,0.89,0.02,0.83,0.95,0.01,0.07,5,0,5.28,1.98,0.1,12.22,0.73,0.09,4.58,0.85,0.04,0.33,2.54,0.01,48.83,1.19,0.58,0,4.8,0,0,0.83,0,0.01,2.71,0,0.04,2.2,0,0.02,0.23,0,0.060007004,0.728913232,8.232393281
RW-10,Jun.23,RW,River,2.02,0.3,0.01,1.53,1.29,0.02,0,0.61,0,2.27,2.19,0.05,0.05,2.33,0,1.43,0.73,0.01,0.83,0.43,0,42.43,1.38,0.59,0,23.46,0,0,6.55,0,0.01,1.4,0,0.03,0.11,0,0,0.48,0,0.001122849,0.783357629,0.143337939
SW-O6-10,Jun.23,SW-O6,Soil,2.07,1.02,0.02,0.86,0.77,0.01,0.11,0.73,0,1.44,2.07,0.03,0.01,9.59,0,2.25,1.3,0.03,0.58,0.55,0,53.97,2.09,1.13,0,48.84,0,0,1.73,0,0.01,3.32,0,0.03,1.56,0,0.01,1.22,0,0.000396883,4.757246212,0.008342711
GF1-11,Aug.23,GF1,Drip,0.7,1.26,0.01,0.48,2.02,0.01,0,2.3,0,2.57,1.84,0.05,0.02,1.84,0,0.85,1.51,0.01,0.16,0.86,0,49.47,0.47,0.23,0,19.53,0,0,3.52,0,0,3.26,0,0.03,0.44,0,0,0.87,0,<0.000,N/A,#VALUE!
GF2-11,Aug.23,GF2,Drip,0.9,0.8,0.01,0.68,1.75,0.01,0.03,1.13,0,1.51,1.67,0.03,3.94,0.99,0.04,1.02,0.98,0.01,0.3,0.63,0,43.61,1.33,0.58,0,51.68,0,0,3.02,0,0.01,2.82,0,0.03,2.15,0,0,1.27,0,0.003673704,0.41171353,0.892296211
GR1-11,Aug.23,GR1,Drip,0.99,1.53,0.02,0.77,1.3,0.01,0.04,0.1,0,3.49,0.53,0.02,0.01,7.45,0,0.82,0.85,0.01,0.09,1.91,0,30.79,0.78,0.24,0,0.73,0,0,2.74,0,0.02,0.85,0,0.03,1.21,0,0.01,1.18,0,0.001426506,3.059250439,0.046629256
GR2-11,Aug.23,GR2,Drip,5.04,0.83,0.04,0.59,1.76,0.01,0.07,1.09,0,2.69,2.85,0.08,0.02,1.32,0,1.93,1.12,0.02,0.23,3.02,0.01,53.68,1.36,0.73,0,28.87,0,0,4.01,0,0.01,3.32,0,0.02,2.14,0,0.01,1.09,0,0.002071348,103.8284621,0.001994971
