Lab code,sample label,Site ID,Group,Month,F14C,F14C error absolute,uncalibrated age (y),age error (y),AMS δ13C (‰)
144205.1.1,DW-GR1-DOM-10,GR1,Drip_GR,Jun.23,0.931,0.009,578,75,-19.8
144206.1.1,DW-GR4-DOM-10,GR4,Drip_GR,Jun.23,0.798,0.007,1818,67,-33.6
144207.1.1,RW-Weir-DOM-9,RW,River,Apr.23,0.971,0.008,240,65,-31.3
144208.1.1,DW-GF1-DOM-9,GF1,Drip_GF,Apr.23,0.964,0.008,293,65,-31.6
144209.1.1,DW-GR5-DOM-9,GR5,Drip_GR,Apr.23,0.478,0.006,5936,108,-18.1
144210.1.1,DW-GF3-DOM-9,GF3,Drip_GF,Apr.23,0.958,0.009,348,73,-18.3
145242.1.1,RW-10,RW,River,Jun.23,0.769,0.021,2110,228,-23.2
145243.1.1,RW-11,RW,River,Aug.23,0.849,0.023,1313,218,-24.5
145244.1.1,GR5-11,GR5,Drip_GR,Aug.23,0.341,0.029,8640,714,-17.8
145245.1.1,RW-12,RW,River,Oct.23,0.843,0.024,1371,231,-23.9
145246.1.1,GF2-11,GF2,Drip_GF,Aug.23,0.918,0.101,691,935,-25
145247.1.1,GR3-11,GR3,Drip_GR,Aug.23,0.7,0.041,2861,486,-20.1
145248.1.1,GF3-13,GF3,Drip_GF,Jan.24,0.931,0.069,577,623,-26.3
145249.1.1,GR2-13,GR2,Drip_GR,Jan.24,0.438,0.051,6625,993,-19
145250.1.1,GR6-10,GR6,Drip_GR,Jun.23,0.701,0.04,2856,472,-24.2
145252.1.1,GF1-11,GF1,Drip_GF,Aug.23,0.78,0.085,1993,921,-25.6
145253.1.1,GR4-13,GR4,Drip_GR,Jan.24,0.692,0.051,2956,619,-21.5
145254.1.1,GR2-12,GR2,Drip_GR,Oct.23,0.464,0.03,6171,540,-20
145255.1.1,GR4-12,GR4,Drip_GR,Oct.23,0.571,0.057,4501,852,-19.3
145256.1.1,GF1-12,GF1,Drip_GF,Oct.23,0.822,0.041,1571,413,-25
145257.1.1,GR1-13,GR1,Drip_GR,Jan.24,0.482,0.039,5861,669,-20.5
145258.1.1,GF1-13,GF1,Drip_GF,Jan.24,0.876,0.045,1065,419,-24.6
145259.1.1,GR1-11,GR1,Drip_GR,Aug.23,0.776,0.039,2042,420,-21.5
145260.1.1,GR4-11,GR4,Drip_GR,Aug.23,0.637,0.068,3625,911,-21.2
145261.1.1,GF2-12,GF2,Drip_GF,Oct.23,0.905,0.031,801,283,-21.1
145262.1.1,GR6-12,GR6,Drip_GR,Oct.23,0.576,0.045,4425,653,-19.7
145263.1.1,GR5-12,GR5,Drip_GR,Oct.23,0.481,0.015,5882,252,-25.3
145264.1.1,GR2-11,GR2,Drip_GR,Aug.23,0.589,0.045,4257,632,-20.3
145265.1.1,RW-13,RW,River,Jan.24,0.978,0.012,175,98,-27.3
145266.1.1,GF3-13,GF3,Drip_GF,Jan.24,0.927,0.027,609,234,-23.9
145267.1.1,GR6-13,GR6,Drip_GR,Jan.24,0.551,0.114,4781,1859,-19
145269.1.1,SW-06-7,SW,River,Dec.22,0.93,0.031,587,276,
145270.1.1,SW-06-9,SW,River,Apr.23,0.945,0.031,456,267,
145271.1.1,SW-06-10,SW,River,Jun.23,0.878,0.033,1044,311,
